"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",9,9
"3","2014-08-15",22,31
"4","2014-08-15",22,53
"5","2014-08-16",0,53
"6","2014-08-17",8,61
"7","2014-08-18",0,61
"8","2014-08-19",0,61
"9","2014-08-20",10,71
"10","2014-08-21",16,87
"11","2014-08-22",0,87
"12","2014-08-23",0,87
"13","2014-08-24",2,89
"14","2014-08-25",0,89
"15","2014-08-26",31,120
"16","2014-08-27",0,120
"17","2014-08-28",0,120
"18","2014-08-29",0,120
"19","2014-08-30",0,120
"20","2014-08-30",0,120
"21","2014-08-31",0,120
"22","2014-08-31",0,120
"23","2014-09-01",0,120
"24","2014-09-01",0,120
"25","2014-09-02",5,125
"26","2014-09-02",5,130
"27","2014-09-03",0,130
"28","2014-09-04",6,136
"29","2014-09-04",6,142
"30","2014-09-06",0,142
"31","2014-09-07",0,142
"32","2014-09-08",0,142
"33","2014-09-09",0,142
"34","2014-09-10",0,142
"35","2014-09-11",0,142
"36","2014-09-12",14,156
"37","2014-09-13",32,188
"38","2014-09-14",32,220
"39","2014-09-15",0,220
"40","2014-09-16",18,238
"41","2014-09-17",0,238
"42","2014-09-18",0,238
"43","2014-09-19",0,238
"44","2014-09-20",0,238
"45","2014-09-21",0,238
"46","2014-09-22",0,238
"47","2014-09-24",0,238
"48","2014-09-25",0,238
"49","2014-09-26",24,262
"50","2014-09-27",0,262
"51","2014-09-28",0,262
"52","2014-09-29",131,393
"53","2014-10-02",0,393
"54","2014-10-04",41,434
"55","2014-10-05",0,434
"56","2014-10-06",0,434
"57","2014-10-08",0,434
"58","2014-10-09",0,434
"59","2014-10-09",0,434
"60","2014-10-11",13,447
"61","2014-10-11",13,460
"62","2014-10-12",0,460
"63","2014-10-12",0,460
"64","2014-10-13",80,540
"65","2014-10-14",80,620
"66","2014-10-15",80,700
"67","2014-10-16",80,780
"68","2014-10-17",0,780
"69","2014-10-18",0,780
"70","2014-10-19",0,780
"71","2014-10-20",0,780
"72","2014-10-20",0,780
"73","2014-10-21",29,809
"74","2014-10-21",29,838
"75","2014-10-22",0,838
"76","2014-10-23",29,867
"77","2014-10-24",55,922
"78","2014-10-24",55,977
"79","2014-10-25",0,977
"80","2014-10-26",0,977
"81","2014-10-26",0,977
"82","2014-10-27",0,977
"83","2014-10-27",0,977
"84","2014-10-28",0,977
"85","2014-10-28",0,977
"86","2014-10-29",0,977
"87","2014-10-29",0,977
"88","2014-10-31",41,1018
"89","2014-11-01",0,1018
"90","2014-11-02",0,1018
"91","2014-11-03",0,1018
"92","2014-11-07",0,1018
"93","2014-11-08",0,1018
"94","2014-11-09",0,1018
"95","2014-11-11",0,1018
"96","2014-11-13",72,1090
"97","2014-11-14",7,1097
"98","2014-11-15",7,1104
"99","2014-11-16",0,1104
"100","2014-11-17",49,1153
"101","2014-11-18",0,1153
"102","2014-11-19",0,1153
"103","2014-11-20",0,1153
"104","2014-11-21",0,1153
"105","2014-11-22",0,1153
"106","2014-11-23",0,1153
"107","2014-11-24",141,1294
"108","2014-11-25",0,1294
"109","2014-11-26",23,1317
"110","2014-11-27",36,1353
"111","2014-11-28",22,1375
"112","2014-11-29",0,1375
"113","2014-11-30",0,1375
"114","2014-12-01",0,1375
"115","2014-12-02",0,1375
"116","2014-12-03",96,1471
"117","2014-12-05",0,1471
"118","2014-12-06",0,1471
"119","2014-12-07",0,1471
"120","2014-12-08",0,1471
"121","2014-12-09",0,1471
"122","2014-12-10",88,1559
"123","2014-12-11",0,1559
"124","2014-12-12",151,1710
"125","2014-12-13",151,1861
"126","2014-12-14",0,1861
"127","2014-12-15",151,2012
"128","2014-12-16",0,2012
"129","2014-12-17",0,2012
"130","2014-12-18",149,2161
"131","2014-12-20",0,2161
"132","2014-12-21",0,2161
"133","2014-12-22",0,2161
"134","2014-12-23",0,2161
"135","2014-12-24",100,2261
"136","2014-12-25",0,2261
"137","2014-12-26",0,2261
"138","2014-12-27",0,2261
"139","2014-12-28",0,2261
"140","2014-12-29",41,2302
"141","2014-12-30",118,2420
"142","2014-12-31",0,2420
"143","2015-01-01",0,2420
"144","2015-01-02",449,2869
"145","2015-01-03",478,3347
"146","2015-01-04",478,3825
"147",NA,0,3825
"148",NA,0,3825
