"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",0,0
"4","2014-08-16",0,0
"5","2014-08-17",0,0
"6","2014-08-18",0,0
"7","2014-08-19",0,0
"8","2014-08-20",0,0
"9","2014-08-21",0,0
"10","2014-08-22",0,0
"11","2014-08-23",0,0
"12","2014-08-24",0,0
"13","2014-08-25",0,0
"14","2014-08-26",0,0
"15","2014-08-27",0,0
"16","2014-08-28",0,0
"17","2014-08-29",0,0
"18","2014-08-30",0,0
"19","2014-08-31",0,0
"20","2014-09-01",0,0
"21","2014-09-02",0,0
"22","2014-09-03",0,0
"23","2014-09-04",0,0
"24","2014-09-06",0,0
"25","2014-09-07",0,0
"26","2014-09-08",0,0
"27","2014-09-09",0,0
"28","2014-09-10",0,0
"29","2014-09-11",52,52
"30","2014-09-12",0,52
"31","2014-09-13",0,52
"32","2014-09-14",0,52
"33","2014-09-15",0,52
"34","2014-09-16",0,52
"35","2014-09-17",0,52
"36","2014-09-18",0,52
"37","2014-09-19",0,52
"38","2014-09-20",0,52
"39","2014-09-21",0,52
"40","2014-09-22",0,52
"41","2014-09-24",0,52
"42","2014-09-25",0,52
"43","2014-09-26",0,52
"44","2014-09-27",0,52
"45","2014-09-28",0,52
"46","2014-09-29",0,52
"47","2014-10-02",0,52
"48","2014-10-04",0,52
"49","2014-10-05",0,52
"50","2014-10-06",0,52
"51","2014-10-08",0,52
"52","2014-10-09",0,52
"53","2014-10-11",0,52
"54","2014-10-12",0,52
"55","2014-10-13",0,52
"56","2014-10-14",0,52
"57","2014-10-15",0,52
"58","2014-10-16",0,52
"59","2014-10-17",0,52
"60","2014-10-18",0,52
"61","2014-10-19",0,52
"62","2014-10-20",0,52
"63","2014-10-21",20,72
"64","2014-10-22",0,72
"65","2014-10-23",20,92
"66","2014-10-24",20,112
"67","2014-10-24",20,132
"68","2014-10-25",0,132
"69","2014-10-26",0,132
"70","2014-10-26",0,132
"71","2014-10-27",0,132
"72","2014-10-27",0,132
"73","2014-10-28",0,132
"74","2014-10-28",0,132
"75","2014-10-29",0,132
"76","2014-10-29",0,132
"77","2014-10-31",0,132
"78","2014-11-01",0,132
"79","2014-11-02",0,132
"80","2014-11-03",0,132
"81","2014-11-07",0,132
"82","2014-11-08",0,132
"83","2014-11-09",0,132
"84","2014-11-11",0,132
"85","2014-11-13",0,132
"86","2014-11-14",0,132
"87","2014-11-15",0,132
"88","2014-11-16",0,132
"89","2014-11-17",40,172
"90","2014-11-18",2,174
"91","2014-11-19",0,174
"92","2014-11-20",1,175
"93","2014-11-21",0,175
"94","2014-11-22",0,175
"95","2014-11-23",0,175
"96","2014-11-24",40,215
"97","2014-11-25",0,215
"98","2014-11-26",0,215
"99","2014-11-27",0,215
"100","2014-11-28",0,215
"101","2014-11-29",0,215
"102","2014-11-30",0,215
"103","2014-12-01",0,215
"104","2014-12-02",0,215
"105","2014-12-03",0,215
"106","2014-12-05",180,395
"107","2014-12-06",0,395
"108","2014-12-07",0,395
"109","2014-12-08",2,397
"110","2014-12-09",0,397
"111","2014-12-10",0,397
"112","2014-12-11",0,397
"113","2014-12-12",0,397
"114","2014-12-13",0,397
"115","2014-12-14",0,397
"116","2014-12-15",0,397
"117","2014-12-16",0,397
"118","2014-12-17",0,397
"119","2014-12-18",0,397
"120","2014-12-20",0,397
"121","2014-12-21",0,397
"122","2014-12-22",0,397
"123","2014-12-23",0,397
"124","2014-12-24",0,397
"125","2014-12-25",0,397
"126","2014-12-26",0,397
"127","2014-12-27",0,397
"128","2014-12-28",0,397
"129","2014-12-29",0,397
"130","2014-12-30",0,397
"131","2014-12-31",0,397
"132","2015-01-01",0,397
"133","2015-01-02",10,407
"134","2015-01-03",10,417
"135","2015-01-04",10,427
"136",NA,0,427
"137",NA,0,427
