"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",6,6
"4","2014-08-16",6,12
"5","2014-08-17",19,31
"6","2014-08-18",0,31
"7","2014-08-19",0,31
"8","2014-08-20",11,42
"9","2014-08-21",4,46
"10","2014-08-22",4,50
"11","2014-08-23",24,74
"12","2014-08-24",0,74
"13","2014-08-25",0,74
"14","2014-08-26",18,92
"15","2014-08-27",0,92
"16","2014-08-28",25,117
"17","2014-08-29",0,117
"18","2014-08-30",0,117
"19","2014-08-30",0,117
"20","2014-08-31",0,117
"21","2014-08-31",0,117
"22","2014-09-01",0,117
"23","2014-09-01",0,117
"24","2014-09-02",28,145
"25","2014-09-02",28,173
"26","2014-09-03",48,221
"27","2014-09-04",16,237
"28","2014-09-04",16,253
"29","2014-09-06",2,255
"30","2014-09-07",0,255
"31","2014-09-08",10,265
"32","2014-09-09",22,287
"33","2014-09-10",6,293
"34","2014-09-11",19,312
"35","2014-09-12",0,312
"36","2014-09-13",18,330
"37","2014-09-14",0,330
"38","2014-09-15",9,339
"39","2014-09-16",16,355
"40","2014-09-17",32,387
"41","2014-09-18",0,387
"42","2014-09-19",16,403
"43","2014-09-20",16,419
"44","2014-09-21",0,419
"45","2014-09-22",53,472
"46","2014-09-24",8,480
"47","2014-09-25",47,527
"48","2014-09-26",0,527
"49","2014-09-27",0,527
"50","2014-09-28",0,527
"51","2014-09-29",0,527
"52","2014-10-02",14,541
"53","2014-10-04",45,586
"54","2014-10-05",14,600
"55","2014-10-06",0,600
"56","2014-10-08",0,600
"57","2014-10-09",0,600
"58","2014-10-09",0,600
"59","2014-10-11",0,600
"60","2014-10-11",0,600
"61","2014-10-12",0,600
"62","2014-10-12",0,600
"63","2014-10-13",6,606
"64","2014-10-14",7,613
"65","2014-10-15",7,620
"66","2014-10-16",25,645
"67","2014-10-17",0,645
"68","2014-10-18",61,706
"69","2014-10-19",0,706
"70","2014-10-20",0,706
"71","2014-10-20",0,706
"72","2014-10-21",0,706
"73","2014-10-21",0,706
"74","2014-10-22",0,706
"75","2014-10-23",20,726
"76","2014-10-24",27,753
"77","2014-10-24",27,780
"78","2014-10-25",0,780
"79","2014-10-26",0,780
"80","2014-10-26",0,780
"81","2014-10-27",0,780
"82","2014-10-27",0,780
"83","2014-10-28",28,808
"84","2014-10-28",28,836
"85","2014-10-29",0,836
"86","2014-10-29",0,836
"87","2014-10-31",80,916
"88","2014-11-01",4,920
"89","2014-11-02",0,920
"90","2014-11-03",0,920
"91","2014-11-07",108,1028
"92","2014-11-08",0,1028
"93","2014-11-09",0,1028
"94","2014-11-11",1,1029
"95","2014-11-13",28,1057
"96","2014-11-14",17,1074
"97","2014-11-15",17,1091
"98","2014-11-16",0,1091
"99","2014-11-17",0,1091
"100","2014-11-18",18,1109
"101","2014-11-19",8,1117
"102","2014-11-20",4,1121
"103","2014-11-21",26,1147
"104","2014-11-22",0,1147
"105","2014-11-23",0,1147
"106","2014-11-24",5,1152
"107","2014-11-25",32,1184
"108","2014-11-26",25,1209
"109","2014-11-27",69,1278
"110","2014-11-28",45,1323
"111","2014-11-29",0,1323
"112","2014-11-30",0,1323
"113","2014-12-01",0,1323
"114","2014-12-02",6,1329
"115","2014-12-03",0,1329
"116","2014-12-05",14,1343
"117","2014-12-06",0,1343
"118","2014-12-07",0,1343
"119","2014-12-08",17,1360
"120","2014-12-09",65,1425
"121","2014-12-10",0,1425
"122","2014-12-11",45,1470
"123","2014-12-12",11,1481
"124","2014-12-13",0,1481
"125","2014-12-14",0,1481
"126","2014-12-15",0,1481
"127","2014-12-16",0,1481
"128","2014-12-17",23,1504
"129","2014-12-18",73,1577
"130","2014-12-20",0,1577
"131","2014-12-21",0,1577
"132","2014-12-22",0,1577
"133","2014-12-23",78,1655
"134","2014-12-24",3,1658
"135","2014-12-25",1,1659
"136","2014-12-26",1,1660
"137","2014-12-27",0,1660
"138","2014-12-28",0,1660
"139","2014-12-29",14,1674
"140","2014-12-30",0,1674
"141","2014-12-31",0,1674
"142","2015-01-01",0,1674
"143","2015-01-02",0,1674
"144","2015-01-03",0,1674
"145","2015-01-04",0,1674
"146",NA,0,1674
"147",NA,21,1695
