"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",0,0
"4","2014-08-16",0,0
"5","2014-08-17",0,0
"6","2014-08-18",0,0
"7","2014-08-19",0,0
"8","2014-08-20",0,0
"9","2014-08-21",0,0
"10","2014-08-22",0,0
"11","2014-08-23",0,0
"12","2014-08-24",0,0
"13","2014-08-25",0,0
"14","2014-08-26",0,0
"15","2014-08-27",0,0
"16","2014-08-28",0,0
"17","2014-08-29",0,0
"18","2014-08-30",0,0
"19","2014-08-31",0,0
"20","2014-09-01",0,0
"21","2014-09-02",0,0
"22","2014-09-03",0,0
"23","2014-09-04",0,0
"24","2014-09-06",18,18
"25","2014-09-07",0,18
"26","2014-09-08",0,18
"27","2014-09-09",0,18
"28","2014-09-10",2,20
"29","2014-09-11",38,58
"30","2014-09-12",30,88
"31","2014-09-13",0,88
"32","2014-09-14",0,88
"33","2014-09-15",0,88
"34","2014-09-16",0,88
"35","2014-09-17",0,88
"36","2014-09-18",0,88
"37","2014-09-19",23,111
"38","2014-09-20",10,121
"39","2014-09-21",0,121
"40","2014-09-22",0,121
"41","2014-09-24",51,172
"42","2014-09-25",0,172
"43","2014-09-26",0,172
"44","2014-09-27",60,232
"45","2014-09-28",0,232
"46","2014-09-29",0,232
"47","2014-10-02",0,232
"48","2014-10-04",22,254
"49","2014-10-05",0,254
"50","2014-10-06",0,254
"51","2014-10-08",0,254
"52","2014-10-09",10,264
"53","2014-10-11",0,264
"54","2014-10-12",0,264
"55","2014-10-13",0,264
"56","2014-10-14",0,264
"57","2014-10-15",0,264
"58","2014-10-16",0,264
"59","2014-10-17",0,264
"60","2014-10-18",0,264
"61","2014-10-19",0,264
"62","2014-10-20",30,294
"63","2014-10-21",0,294
"64","2014-10-22",0,294
"65","2014-10-23",0,294
"66","2014-10-24",83,377
"67","2014-10-24",83,460
"68","2014-10-25",0,460
"69","2014-10-26",0,460
"70","2014-10-26",0,460
"71","2014-10-27",0,460
"72","2014-10-27",0,460
"73","2014-10-28",0,460
"74","2014-10-28",0,460
"75","2014-10-29",0,460
"76","2014-10-29",0,460
"77","2014-10-31",40,500
"78","2014-11-01",0,500
"79","2014-11-02",0,500
"80","2014-11-03",0,500
"81","2014-11-07",0,500
"82","2014-11-08",0,500
"83","2014-11-09",0,500
"84","2014-11-11",0,500
"85","2014-11-13",0,500
"86","2014-11-14",68,568
"87","2014-11-15",0,568
"88","2014-11-16",0,568
"89","2014-11-17",0,568
"90","2014-11-18",0,568
"91","2014-11-19",8,576
"92","2014-11-20",10,586
"93","2014-11-21",6,592
"94","2014-11-22",0,592
"95","2014-11-23",0,592
"96","2014-11-24",15,607
"97","2014-11-25",0,607
"98","2014-11-26",0,607
"99","2014-11-27",6,613
"100","2014-11-28",23,636
"101","2014-11-29",0,636
"102","2014-11-30",0,636
"103","2014-12-01",3,639
"104","2014-12-02",5,644
"105","2014-12-03",12,656
"106","2014-12-05",0,656
"107","2014-12-06",6,662
"108","2014-12-07",6,668
"109","2014-12-08",16,684
"110","2014-12-09",14,698
"111","2014-12-10",0,698
"112","2014-12-11",0,698
"113","2014-12-12",11,709
"114","2014-12-13",0,709
"115","2014-12-14",0,709
"116","2014-12-15",25,734
"117","2014-12-16",0,734
"118","2014-12-17",0,734
"119","2014-12-18",18,752
"120","2014-12-20",0,752
"121","2014-12-21",18,770
"122","2014-12-22",0,770
"123","2014-12-23",0,770
"124","2014-12-24",3,773
"125","2014-12-25",0,773
"126","2014-12-26",0,773
"127","2014-12-27",40,813
"128","2014-12-28",0,813
"129","2014-12-29",8,821
"130","2014-12-30",4,825
"131","2014-12-31",7,832
"132","2015-01-01",0,832
"133","2015-01-02",168,1000
"134","2015-01-03",166,1166
"135","2015-01-04",166,1332
"136",NA,0,1332
"137",NA,60,1392
