"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",6,6
"4","2014-08-16",0,6
"5","2014-08-17",0,6
"6","2014-08-18",4,10
"7","2014-08-19",0,10
"8","2014-08-20",0,10
"9","2014-08-21",11,21
"10","2014-08-22",1,22
"11","2014-08-23",0,22
"12","2014-08-24",0,22
"13","2014-08-25",0,22
"14","2014-08-26",0,22
"15","2014-08-27",0,22
"16","2014-08-28",0,22
"17","2014-08-29",0,22
"18","2014-08-30",0,22
"19","2014-08-30",0,22
"20","2014-08-31",0,22
"21","2014-08-31",0,22
"22","2014-09-01",0,22
"23","2014-09-01",0,22
"24","2014-09-02",0,22
"25","2014-09-02",0,22
"26","2014-09-03",0,22
"27","2014-09-04",9,31
"28","2014-09-04",9,40
"29","2014-09-06",43,83
"30","2014-09-07",0,83
"31","2014-09-08",4,87
"32","2014-09-09",4,91
"33","2014-09-10",0,91
"34","2014-09-11",0,91
"35","2014-09-12",0,91
"36","2014-09-13",0,91
"37","2014-09-14",0,91
"38","2014-09-15",0,91
"39","2014-09-16",0,91
"40","2014-09-17",0,91
"41","2014-09-18",0,91
"42","2014-09-19",14,105
"43","2014-09-20",0,105
"44","2014-09-21",0,105
"45","2014-09-22",0,105
"46","2014-09-24",0,105
"47","2014-09-25",0,105
"48","2014-09-26",0,105
"49","2014-09-27",0,105
"50","2014-09-28",0,105
"51","2014-09-29",45,150
"52","2014-10-02",0,150
"53","2014-10-04",45,195
"54","2014-10-05",0,195
"55","2014-10-06",0,195
"56","2014-10-08",0,195
"57","2014-10-09",0,195
"58","2014-10-11",0,195
"59","2014-10-12",0,195
"60","2014-10-13",114,309
"61","2014-10-14",114,423
"62","2014-10-15",114,537
"63","2014-10-16",20,557
"64","2014-10-17",0,557
"65","2014-10-18",78,635
"66","2014-10-19",0,635
"67","2014-10-20",0,635
"68","2014-10-21",40,675
"69","2014-10-22",0,675
"70","2014-10-23",0,675
"71","2014-10-24",12,687
"72","2014-10-24",12,699
"73","2014-10-25",12,711
"74","2014-10-26",0,711
"75","2014-10-26",0,711
"76","2014-10-27",12,723
"77","2014-10-27",12,735
"78","2014-10-28",12,747
"79","2014-10-28",12,759
"80","2014-10-29",17,776
"81","2014-10-29",17,793
"82","2014-10-31",0,793
"83","2014-11-01",0,793
"84","2014-11-02",0,793
"85","2014-11-03",0,793
"86","2014-11-07",31,824
"87","2014-11-08",0,824
"88","2014-11-09",31,855
"89","2014-11-11",80,935
"90","2014-11-13",0,935
"91","2014-11-14",0,935
"92","2014-11-15",0,935
"93","2014-11-16",0,935
"94","2014-11-17",17,952
"95","2014-11-18",27,979
"96","2014-11-19",20,999
"97","2014-11-20",0,999
"98","2014-11-21",58,1057
"99","2014-11-22",0,1057
"100","2014-11-23",0,1057
"101","2014-11-24",4,1061
"102","2014-11-25",0,1061
"103","2014-11-26",25,1086
"104","2014-11-27",0,1086
"105","2014-11-28",0,1086
"106","2014-11-29",0,1086
"107","2014-11-30",0,1086
"108","2014-12-01",0,1086
"109","2014-12-02",18,1104
"110","2014-12-03",22,1126
"111","2014-12-05",17,1143
"112","2014-12-06",25,1168
"113","2014-12-07",0,1168
"114","2014-12-08",0,1168
"115","2014-12-09",0,1168
"116","2014-12-10",12,1180
"117","2014-12-11",12,1192
"118","2014-12-12",13,1205
"119","2014-12-13",0,1205
"120","2014-12-14",0,1205
"121","2014-12-15",0,1205
"122","2014-12-16",0,1205
"123","2014-12-17",0,1205
"124","2014-12-18",0,1205
"125","2014-12-20",0,1205
"126","2014-12-21",0,1205
"127","2014-12-22",66,1271
"128","2014-12-23",21,1292
"129","2014-12-24",0,1292
"130","2014-12-25",0,1292
"131","2014-12-26",0,1292
"132","2014-12-27",0,1292
"133","2014-12-28",0,1292
"134","2014-12-29",0,1292
"135","2014-12-30",17,1309
"136","2014-12-31",0,1309
"137","2015-01-01",0,1309
"138","2015-01-02",175,1484
"139","2015-01-03",175,1659
"140","2015-01-04",175,1834
"141",NA,7,1841
"142",NA,0,1841
