"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",85,85
"3","2014-08-15",179,264
"4","2014-08-16",79,343
"5","2014-08-17",72,415
"6","2014-08-18",91,506
"7","2014-08-19",0,506
"8","2014-08-20",105,611
"9","2014-08-21",120,731
"10","2014-08-22",93,824
"11","2014-08-23",28,852
"12","2014-08-24",229,1081
"13","2014-08-25",0,1081
"14","2014-08-26",76,1157
"15","2014-08-27",0,1157
"16","2014-08-28",83,1240
"17","2014-08-29",0,1240
"18","2014-08-30",0,1240
"19","2014-08-31",0,1240
"20","2014-09-01",0,1240
"21","2014-09-02",253,1493
"22","2014-09-03",207,1700
"23","2014-09-04",162,1862
"24","2014-09-06",188,2050
"25","2014-09-07",25,2075
"26","2014-09-08",266,2341
"27","2014-09-09",279,2620
"28","2014-09-10",126,2746
"29","2014-09-11",278,3024
"30","2014-09-12",362,3386
"31","2014-09-13",282,3668
"32","2014-09-14",55,3723
"33","2014-09-15",205,3928
"34","2014-09-16",158,4086
"35","2014-09-17",210,4296
"36","2014-09-18",0,4296
"37","2014-09-19",115,4411
"38","2014-09-20",278,4689
"39","2014-09-21",735,5424
"40","2014-09-22",807,6231
"41","2014-09-24",165,6396
"42","2014-09-25",385,6781
"43","2014-09-26",425,7206
"44","2014-09-27",171,7377
"45","2014-09-28",0,7377
"46","2014-09-29",294,7671
"47","2014-10-02",153,7824
"48","2014-10-04",511,8335
"49","2014-10-05",135,8470
"50","2014-10-06",100,8570
"51","2014-10-08",0,8570
"52","2014-10-09",297,8867
"53","2014-10-11",285,9152
"54","2014-10-12",27,9179
"55","2014-10-13",664,9843
"56","2014-10-14",1176,11019
"57","2014-10-15",1176,12195
"58","2014-10-16",873,13068
"59","2014-10-17",0,13068
"60","2014-10-18",339,13407
"61","2014-10-19",339,13746
"62","2014-10-20",532,14278
"63","2014-10-21",393,14671
"64","2014-10-22",0,14671
"65","2014-10-23",1032,15703
"66","2014-10-24",397,16100
"67","2014-10-25",231,16331
"68","2014-10-26",0,16331
"69","2014-10-27",106,16437
"70","2014-10-28",683,17120
"71","2014-10-29",568,17688
"72","2014-10-31",606,18294
"73","2014-11-01",481,18775
"74","2014-11-02",317,19092
"75","2014-11-03",367,19459
"76","2014-11-07",713,20172
"77","2014-11-08",121,20293
"78","2014-11-09",266,20559
"79","2014-11-11",0,20559
"80","2014-11-13",569,21128
"81","2014-11-14",607,21735
"82","2014-11-15",480,22215
"83","2014-11-16",0,22215
"84","2014-11-17",45,22260
"85","2014-11-18",840,23100
"86","2014-11-19",502,23602
"87","2014-11-20",149,23751
"88","2014-11-21",593,24344
"89","2014-11-22",0,24344
"90","2014-11-23",0,24344
"91","2014-11-24",579,24923
"92","2014-11-25",458,25381
"93","2014-11-26",817,26198
"94","2014-11-27",396,26594
"95","2014-11-28",1013,27607
"96","2014-11-29",0,27607
"97","2014-11-30",0,27607
"98","2014-12-01",600,28207
"99","2014-12-02",319,28526
"100","2014-12-03",1363,29889
"101","2014-12-05",501,30390
"102","2014-12-06",666,31056
"103","2014-12-07",402,31458
"104","2014-12-08",211,31669
"105","2014-12-09",427,32096
"106","2014-12-10",379,32475
"107","2014-12-11",506,32981
"108","2014-12-12",625,33606
"109","2014-12-13",901,34507
"110","2014-12-14",0,34507
"111","2014-12-15",901,35408
"112","2014-12-16",171,35579
"113","2014-12-17",514,36093
"114","2014-12-18",512,36605
"115","2014-12-20",407,37012
"116","2014-12-21",133,37145
"117","2014-12-22",291,37436
"118","2014-12-23",213,37649
"119","2014-12-24",414,38063
"120","2014-12-25",432,38495
"121","2014-12-26",530,39025
"122","2014-12-27",209,39234
"123","2014-12-28",0,39234
"124","2014-12-29",931,40165
"125","2014-12-30",556,40721
"126","2014-12-31",149,40870
"127","2015-01-01",0,40870
"128","2015-01-02",15188,56058
"129","2015-01-03",14446,70504
"130","2015-01-04",11470,81974
"131",NA,304,82278
"132",NA,419,82697
