"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",14,14
"4","2014-08-16",14,28
"5","2014-08-17",0,28
"6","2014-08-18",0,28
"7","2014-08-19",0,28
"8","2014-08-20",0,28
"9","2014-08-21",0,28
"10","2014-08-22",13,41
"11","2014-08-23",0,41
"12","2014-08-24",0,41
"13","2014-08-25",0,41
"14","2014-08-26",0,41
"15","2014-08-27",0,41
"16","2014-08-28",19,60
"17","2014-08-29",0,60
"18","2014-08-30",0,60
"19","2014-08-31",0,60
"20","2014-09-01",0,60
"21","2014-09-02",0,60
"22","2014-09-03",0,60
"23","2014-09-04",0,60
"24","2014-09-06",0,60
"25","2014-09-07",0,60
"26","2014-09-08",125,185
"27","2014-09-09",0,185
"28","2014-09-10",0,185
"29","2014-09-11",0,185
"30","2014-09-12",0,185
"31","2014-09-13",0,185
"32","2014-09-14",0,185
"33","2014-09-15",0,185
"34","2014-09-16",0,185
"35","2014-09-17",0,185
"36","2014-09-18",0,185
"37","2014-09-19",0,185
"38","2014-09-20",0,185
"39","2014-09-21",0,185
"40","2014-09-22",76,261
"41","2014-09-24",0,261
"42","2014-09-25",0,261
"43","2014-09-26",78,339
"44","2014-09-27",0,339
"45","2014-09-28",0,339
"46","2014-09-29",0,339
"47","2014-10-02",0,339
"48","2014-10-04",0,339
"49","2014-10-05",0,339
"50","2014-10-06",0,339
"51","2014-10-08",0,339
"52","2014-10-09",0,339
"53","2014-10-11",0,339
"54","2014-10-12",0,339
"55","2014-10-13",270,609
"56","2014-10-14",270,879
"57","2014-10-15",270,1149
"58","2014-10-16",0,1149
"59","2014-10-17",0,1149
"60","2014-10-18",0,1149
"61","2014-10-19",0,1149
"62","2014-10-20",0,1149
"63","2014-10-21",15,1164
"64","2014-10-22",0,1164
"65","2014-10-23",0,1164
"66","2014-10-24",13,1177
"67","2014-10-24",13,1190
"68","2014-10-25",0,1190
"69","2014-10-26",0,1190
"70","2014-10-26",0,1190
"71","2014-10-27",0,1190
"72","2014-10-27",0,1190
"73","2014-10-28",0,1190
"74","2014-10-28",0,1190
"75","2014-10-29",0,1190
"76","2014-10-29",0,1190
"77","2014-10-31",126,1316
"78","2014-11-01",0,1316
"79","2014-11-02",0,1316
"80","2014-11-03",126,1442
"81","2014-11-07",0,1442
"82","2014-11-08",0,1442
"83","2014-11-09",0,1442
"84","2014-11-11",0,1442
"85","2014-11-13",0,1442
"86","2014-11-14",0,1442
"87","2014-11-15",0,1442
"88","2014-11-16",0,1442
"89","2014-11-17",0,1442
"90","2014-11-18",0,1442
"91","2014-11-19",0,1442
"92","2014-11-20",95,1537
"93","2014-11-21",24,1561
"94","2014-11-22",0,1561
"95","2014-11-23",0,1561
"96","2014-11-24",0,1561
"97","2014-11-25",0,1561
"98","2014-11-26",0,1561
"99","2014-11-27",0,1561
"100","2014-11-28",0,1561
"101","2014-11-29",0,1561
"102","2014-11-30",0,1561
"103","2014-12-01",0,1561
"104","2014-12-02",0,1561
"105","2014-12-03",0,1561
"106","2014-12-05",0,1561
"107","2014-12-06",0,1561
"108","2014-12-07",0,1561
"109","2014-12-08",0,1561
"110","2014-12-09",0,1561
"111","2014-12-10",0,1561
"112","2014-12-11",0,1561
"113","2014-12-12",0,1561
"114","2014-12-13",0,1561
"115","2014-12-14",0,1561
"116","2014-12-15",0,1561
"117","2014-12-16",0,1561
"118","2014-12-17",0,1561
"119","2014-12-18",0,1561
"120","2014-12-20",0,1561
"121","2014-12-21",0,1561
"122","2014-12-22",0,1561
"123","2014-12-23",0,1561
"124","2014-12-24",0,1561
"125","2014-12-25",0,1561
"126","2014-12-26",0,1561
"127","2014-12-27",0,1561
"128","2014-12-28",0,1561
"129","2014-12-29",0,1561
"130","2014-12-30",0,1561
"131","2014-12-31",0,1561
"132","2015-01-01",0,1561
"133","2015-01-02",0,1561
"134","2015-01-03",0,1561
"135","2015-01-04",0,1561
"136",NA,0,1561
"137",NA,0,1561
