"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",8,8
"3","2014-08-15",0,8
"4","2014-08-16",0,8
"5","2014-08-17",0,8
"6","2014-08-18",0,8
"7","2014-08-19",0,8
"8","2014-08-20",0,8
"9","2014-08-21",0,8
"10","2014-08-22",0,8
"11","2014-08-23",0,8
"12","2014-08-24",194,202
"13","2014-08-25",0,202
"14","2014-08-26",0,202
"15","2014-08-27",0,202
"16","2014-08-28",0,202
"17","2014-08-29",0,202
"18","2014-08-30",0,202
"19","2014-08-30",0,202
"20","2014-08-31",0,202
"21","2014-08-31",0,202
"22","2014-09-01",0,202
"23","2014-09-01",0,202
"24","2014-09-02",54,256
"25","2014-09-02",54,310
"26","2014-09-03",0,310
"27","2014-09-04",33,343
"28","2014-09-04",33,376
"29","2014-09-06",0,376
"30","2014-09-07",14,390
"31","2014-09-08",0,390
"32","2014-09-09",70,460
"33","2014-09-10",0,460
"34","2014-09-11",0,460
"35","2014-09-12",20,480
"36","2014-09-13",0,480
"37","2014-09-14",0,480
"38","2014-09-15",40,520
"39","2014-09-16",40,560
"40","2014-09-17",0,560
"41","2014-09-18",0,560
"42","2014-09-19",0,560
"43","2014-09-20",170,730
"44","2014-09-21",608,1338
"45","2014-09-22",613,1951
"46","2014-09-24",0,1951
"47","2014-09-25",0,1951
"48","2014-09-26",55,2006
"49","2014-09-27",0,2006
"50","2014-09-28",0,2006
"51","2014-09-29",19,2025
"52","2014-10-02",0,2025
"53","2014-10-04",0,2025
"54","2014-10-05",44,2069
"55","2014-10-06",44,2113
"56","2014-10-08",0,2113
"57","2014-10-09",0,2113
"58","2014-10-11",30,2143
"59","2014-10-12",0,2143
"60","2014-10-13",59,2202
"61","2014-10-14",82,2284
"62","2014-10-15",82,2366
"63","2014-10-16",340,2706
"64","2014-10-17",0,2706
"65","2014-10-18",0,2706
"66","2014-10-19",0,2706
"67","2014-10-20",9,2715
"68","2014-10-21",95,2810
"69","2014-10-22",0,2810
"70","2014-10-23",7,2817
"71","2014-10-24",0,2817
"72","2014-10-24",0,2817
"73","2014-10-25",28,2845
"74","2014-10-26",0,2845
"75","2014-10-26",0,2845
"76","2014-10-27",0,2845
"77","2014-10-27",0,2845
"78","2014-10-28",56,2901
"79","2014-10-28",56,2957
"80","2014-10-29",64,3021
"81","2014-10-29",64,3085
"82","2014-10-31",22,3107
"83","2014-11-01",13,3120
"84","2014-11-02",13,3133
"85","2014-11-03",22,3155
"86","2014-11-07",0,3155
"87","2014-11-08",64,3219
"88","2014-11-09",0,3219
"89","2014-11-11",0,3219
"90","2014-11-13",0,3219
"91","2014-11-14",0,3219
"92","2014-11-15",3,3222
"93","2014-11-16",0,3222
"94","2014-11-17",0,3222
"95","2014-11-18",0,3222
"96","2014-11-19",0,3222
"97","2014-11-20",14,3236
"98","2014-11-21",0,3236
"99","2014-11-22",0,3236
"100","2014-11-23",0,3236
"101","2014-11-24",7,3243
"102","2014-11-25",0,3243
"103","2014-11-26",0,3243
"104","2014-11-27",0,3243
"105","2014-11-28",19,3262
"106","2014-11-29",0,3262
"107","2014-11-30",0,3262
"108","2014-12-01",0,3262
"109","2014-12-02",0,3262
"110","2014-12-03",0,3262
"111","2014-12-05",0,3262
"112","2014-12-06",0,3262
"113","2014-12-07",0,3262
"114","2014-12-08",26,3288
"115","2014-12-09",0,3288
"116","2014-12-10",0,3288
"117","2014-12-11",0,3288
"118","2014-12-12",0,3288
"119","2014-12-13",0,3288
"120","2014-12-14",0,3288
"121","2014-12-15",0,3288
"122","2014-12-16",0,3288
"123","2014-12-17",0,3288
"124","2014-12-18",0,3288
"125","2014-12-20",0,3288
"126","2014-12-21",0,3288
"127","2014-12-22",0,3288
"128","2014-12-23",0,3288
"129","2014-12-24",0,3288
"130","2014-12-25",0,3288
"131","2014-12-26",0,3288
"132","2014-12-27",0,3288
"133","2014-12-28",0,3288
"134","2014-12-29",0,3288
"135","2014-12-30",0,3288
"136","2014-12-31",0,3288
"137","2015-01-01",0,3288
"138","2015-01-02",0,3288
"139","2015-01-03",0,3288
"140","2015-01-04",0,3288
"141",NA,0,3288
"142",NA,0,3288
