"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",5,5
"4","2014-08-16",0,5
"5","2014-08-17",10,15
"6","2014-08-18",34,49
"7","2014-08-19",0,49
"8","2014-08-20",3,52
"9","2014-08-21",26,78
"10","2014-08-22",25,103
"11","2014-08-23",4,107
"12","2014-08-24",0,107
"13","2014-08-25",0,107
"14","2014-08-26",27,134
"15","2014-08-27",0,134
"16","2014-08-28",10,144
"17","2014-08-29",0,144
"18","2014-08-30",0,144
"19","2014-08-30",0,144
"20","2014-08-31",0,144
"21","2014-08-31",0,144
"22","2014-09-01",0,144
"23","2014-09-01",0,144
"24","2014-09-02",10,154
"25","2014-09-02",10,164
"26","2014-09-03",3,167
"27","2014-09-04",9,176
"28","2014-09-04",9,185
"29","2014-09-06",6,191
"30","2014-09-07",11,202
"31","2014-09-08",8,210
"32","2014-09-09",10,220
"33","2014-09-10",9,229
"34","2014-09-11",7,236
"35","2014-09-12",15,251
"36","2014-09-13",21,272
"37","2014-09-14",23,295
"38","2014-09-15",38,333
"39","2014-09-16",16,349
"40","2014-09-17",31,380
"41","2014-09-18",0,380
"42","2014-09-19",33,413
"43","2014-09-20",45,458
"44","2014-09-21",74,532
"45","2014-09-22",51,583
"46","2014-09-24",16,599
"47","2014-09-25",31,630
"48","2014-09-26",14,644
"49","2014-09-27",18,662
"50","2014-09-28",0,662
"51","2014-09-29",24,686
"52","2014-10-02",23,709
"53","2014-10-04",49,758
"54","2014-10-05",69,827
"55","2014-10-06",56,883
"56","2014-10-08",0,883
"57","2014-10-09",34,917
"58","2014-10-11",23,940
"59","2014-10-12",27,967
"60","2014-10-13",41,1008
"61","2014-10-14",12,1020
"62","2014-10-15",12,1032
"63","2014-10-16",16,1048
"64","2014-10-17",0,1048
"65","2014-10-18",13,1061
"66","2014-10-19",16,1077
"67","2014-10-20",21,1098
"68","2014-10-21",13,1111
"69","2014-10-22",0,1111
"70","2014-10-23",18,1129
"71","2014-10-24",21,1150
"72","2014-10-24",21,1171
"73","2014-10-25",0,1171
"74","2014-10-26",0,1171
"75","2014-10-26",0,1171
"76","2014-10-27",0,1171
"77","2014-10-27",0,1171
"78","2014-10-28",312,1483
"79","2014-10-28",312,1795
"80","2014-10-29",0,1795
"81","2014-10-29",0,1795
"82","2014-10-31",0,1795
"83","2014-11-01",0,1795
"84","2014-11-02",0,1795
"85","2014-11-03",0,1795
"86","2014-11-07",0,1795
"87","2014-11-08",0,1795
"88","2014-11-09",0,1795
"89","2014-11-11",0,1795
"90","2014-11-13",0,1795
"91","2014-11-14",0,1795
"92","2014-11-15",0,1795
"93","2014-11-16",0,1795
"94","2014-11-17",0,1795
"95","2014-11-18",219,2014
"96","2014-11-19",0,2014
"97","2014-11-20",25,2039
"98","2014-11-21",46,2085
"99","2014-11-22",0,2085
"100","2014-11-23",0,2085
"101","2014-11-24",0,2085
"102","2014-11-25",0,2085
"103","2014-11-26",64,2149
"104","2014-11-27",174,2323
"105","2014-11-28",174,2497
"106","2014-11-29",0,2497
"107","2014-11-30",0,2497
"108","2014-12-01",122,2619
"109","2014-12-02",33,2652
"110","2014-12-03",0,2652
"111","2014-12-05",211,2863
"112","2014-12-06",0,2863
"113","2014-12-07",0,2863
"114","2014-12-08",0,2863
"115","2014-12-09",20,2883
"116","2014-12-10",22,2905
"117","2014-12-11",0,2905
"118","2014-12-12",1,2906
"119","2014-12-13",152,3058
"120","2014-12-14",0,3058
"121","2014-12-15",0,3058
"122","2014-12-16",26,3084
"123","2014-12-17",0,3084
"124","2014-12-18",0,3084
"125","2014-12-20",0,3084
"126","2014-12-21",0,3084
"127","2014-12-22",0,3084
"128","2014-12-23",65,3149
"129","2014-12-24",65,3214
"130","2014-12-25",392,3606
"131","2014-12-26",0,3606
"132","2014-12-27",0,3606
"133","2014-12-28",0,3606
"134","2014-12-29",96,3702
"135","2014-12-30",84,3786
"136","2014-12-31",0,3786
"137","2015-01-01",0,3786
"138","2015-01-02",0,3786
"139","2015-01-03",80,3866
"140","2015-01-04",0,3866
"141",NA,36,3902
"142",NA,44,3946
