"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",0,0
"3","2014-08-15",0,0
"4","2014-08-15",0,0
"5","2014-08-16",0,0
"6","2014-08-17",0,0
"7","2014-08-18",21,21
"8","2014-08-19",0,21
"9","2014-08-20",0,21
"10","2014-08-21",15,36
"11","2014-08-22",0,36
"12","2014-08-23",0,36
"13","2014-08-24",0,36
"14","2014-08-25",0,36
"15","2014-08-26",0,36
"16","2014-08-27",0,36
"17","2014-08-28",0,36
"18","2014-08-29",0,36
"19","2014-08-30",0,36
"20","2014-08-31",0,36
"21","2014-09-01",0,36
"22","2014-09-02",0,36
"23","2014-09-03",0,36
"24","2014-09-04",12,48
"25","2014-09-06",27,75
"26","2014-09-07",0,75
"27","2014-09-08",0,75
"28","2014-09-09",24,99
"29","2014-09-10",0,99
"30","2014-09-11",0,99
"31","2014-09-12",0,99
"32","2014-09-13",34,133
"33","2014-09-14",0,133
"34","2014-09-15",0,133
"35","2014-09-16",0,133
"36","2014-09-17",0,133
"37","2014-09-18",0,133
"38","2014-09-19",24,157
"39","2014-09-20",24,181
"40","2014-09-21",0,181
"41","2014-09-22",0,181
"42","2014-09-24",0,181
"43","2014-09-25",0,181
"44","2014-09-26",0,181
"45","2014-09-27",7,188
"46","2014-09-28",0,188
"47","2014-09-29",0,188
"48","2014-10-02",0,188
"49","2014-10-04",0,188
"50","2014-10-05",0,188
"51","2014-10-06",0,188
"52","2014-10-08",0,188
"53","2014-10-09",0,188
"54","2014-10-11",16,204
"55","2014-10-12",0,204
"56","2014-10-13",54,258
"57","2014-10-14",1,259
"58","2014-10-15",1,260
"59","2014-10-16",4,264
"60","2014-10-17",0,264
"61","2014-10-18",32,296
"62","2014-10-19",0,296
"63","2014-10-20",0,296
"64","2014-10-21",0,296
"65","2014-10-22",0,296
"66","2014-10-23",0,296
"67","2014-10-24",0,296
"68","2014-10-24",0,296
"69","2014-10-25",0,296
"70","2014-10-26",0,296
"71","2014-10-26",0,296
"72","2014-10-27",0,296
"73","2014-10-27",0,296
"74","2014-10-28",0,296
"75","2014-10-28",0,296
"76","2014-10-29",0,296
"77","2014-10-29",0,296
"78","2014-10-31",0,296
"79","2014-11-01",0,296
"80","2014-11-02",0,296
"81","2014-11-03",0,296
"82","2014-11-07",0,296
"83","2014-11-08",0,296
"84","2014-11-09",0,296
"85","2014-11-11",36,332
"86","2014-11-13",0,332
"87","2014-11-14",0,332
"88","2014-11-15",40,372
"89","2014-11-16",0,372
"90","2014-11-17",0,372
"91","2014-11-18",120,492
"92","2014-11-19",0,492
"93","2014-11-20",0,492
"94","2014-11-21",0,492
"95","2014-11-22",0,492
"96","2014-11-23",0,492
"97","2014-11-24",0,492
"98","2014-11-25",2,494
"99","2014-11-26",0,494
"100","2014-11-27",0,494
"101","2014-11-28",0,494
"102","2014-11-29",0,494
"103","2014-11-30",0,494
"104","2014-12-01",57,551
"105","2014-12-02",2,553
"106","2014-12-03",13,566
"107","2014-12-05",0,566
"108","2014-12-06",0,566
"109","2014-12-07",0,566
"110","2014-12-08",0,566
"111","2014-12-09",12,578
"112","2014-12-10",0,578
"113","2014-12-11",0,578
"114","2014-12-12",0,578
"115","2014-12-13",0,578
"116","2014-12-14",0,578
"117","2014-12-15",69,647
"118","2014-12-16",69,716
"119","2014-12-17",34,750
"120","2014-12-18",34,784
"121","2014-12-20",14,798
"122","2014-12-21",68,866
"123","2014-12-22",42,908
"124","2014-12-23",0,908
"125","2014-12-24",6,914
"126","2014-12-25",39,953
"127","2014-12-26",32,985
"128","2014-12-27",78,1063
"129","2014-12-28",0,1063
"130","2014-12-29",0,1063
"131","2014-12-30",0,1063
"132","2014-12-31",62,1125
"133","2015-01-01",0,1125
"134","2015-01-02",691,1816
"135","2015-01-03",692,2508
"136","2015-01-04",692,3200
"137",NA,18,3218
"138",NA,27,3245
