"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",3,3
"3","2014-08-15",10,13
"4","2014-08-16",0,13
"5","2014-08-17",0,13
"6","2014-08-18",0,13
"7","2014-08-19",0,13
"8","2014-08-20",0,13
"9","2014-08-21",0,13
"10","2014-08-22",11,24
"11","2014-08-23",0,24
"12","2014-08-24",0,24
"13","2014-08-25",0,24
"14","2014-08-26",0,24
"15","2014-08-27",0,24
"16","2014-08-28",25,49
"17","2014-08-29",0,49
"18","2014-08-30",0,49
"19","2014-08-31",0,49
"20","2014-09-01",0,49
"21","2014-09-02",7,56
"22","2014-09-03",8,64
"23","2014-09-04",1,65
"24","2014-09-06",6,71
"25","2014-09-07",0,71
"26","2014-09-08",8,79
"27","2014-09-09",12,91
"28","2014-09-10",7,98
"29","2014-09-11",0,98
"30","2014-09-12",181,279
"31","2014-09-13",59,338
"32","2014-09-14",0,338
"33","2014-09-15",0,338
"34","2014-09-16",13,351
"35","2014-09-17",10,361
"36","2014-09-18",0,361
"37","2014-09-19",0,361
"38","2014-09-20",0,361
"39","2014-09-21",0,361
"40","2014-09-22",0,361
"41","2014-09-24",12,373
"42","2014-09-25",76,449
"43","2014-09-26",41,490
"44","2014-09-27",0,490
"45","2014-09-28",0,490
"46","2014-09-29",0,490
"47","2014-10-02",16,506
"48","2014-10-04",195,701
"49","2014-10-05",0,701
"50","2014-10-06",0,701
"51","2014-10-08",0,701
"52","2014-10-09",32,733
"53","2014-10-11",21,754
"54","2014-10-12",0,754
"55","2014-10-13",2,756
"56","2014-10-14",275,1031
"57","2014-10-15",275,1306
"58","2014-10-16",190,1496
"59","2014-10-17",0,1496
"60","2014-10-18",67,1563
"61","2014-10-19",0,1563
"62","2014-10-20",32,1595
"63","2014-10-21",41,1636
"64","2014-10-22",0,1636
"65","2014-10-23",667,2303
"66","2014-10-24",13,2316
"67","2014-10-25",0,2316
"68","2014-10-26",0,2316
"69","2014-10-27",13,2329
"70","2014-10-28",0,2329
"71","2014-10-29",75,2404
"72","2014-10-31",85,2489
"73","2014-11-01",118,2607
"74","2014-11-02",52,2659
"75","2014-11-03",29,2688
"76","2014-11-07",39,2727
"77","2014-11-08",0,2727
"78","2014-11-09",60,2787
"79","2014-11-11",66,2853
"80","2014-11-13",203,3056
"81","2014-11-14",78,3134
"82","2014-11-15",138,3272
"83","2014-11-16",0,3272
"84","2014-11-17",0,3272
"85","2014-11-18",0,3272
"86","2014-11-19",0,3272
"87","2014-11-20",0,3272
"88","2014-11-21",0,3272
"89","2014-11-22",0,3272
"90","2014-11-23",0,3272
"91","2014-11-24",64,3336
"92","2014-11-25",151,3487
"93","2014-11-26",122,3609
"94","2014-11-27",9,3618
"95","2014-11-28",44,3662
"96","2014-11-29",0,3662
"97","2014-11-30",0,3662
"98","2014-12-01",114,3776
"99","2014-12-02",41,3817
"100","2014-12-03",360,4177
"101","2014-12-05",79,4256
"102","2014-12-06",112,4368
"103","2014-12-07",140,4508
"104","2014-12-08",98,4606
"105","2014-12-09",49,4655
"106","2014-12-10",30,4685
"107","2014-12-11",200,4885
"108","2014-12-12",218,5103
"109","2014-12-13",316,5419
"110","2014-12-14",0,5419
"111","2014-12-15",0,5419
"112","2014-12-16",0,5419
"113","2014-12-17",0,5419
"114","2014-12-18",0,5419
"115","2014-12-20",0,5419
"116","2014-12-21",0,5419
"117","2014-12-22",0,5419
"118","2014-12-23",0,5419
"119","2014-12-24",0,5419
"120","2014-12-25",0,5419
"121","2014-12-26",0,5419
"122","2014-12-27",0,5419
"123","2014-12-28",0,5419
"124","2014-12-29",0,5419
"125","2014-12-30",0,5419
"126","2014-12-31",0,5419
"127","2015-01-01",0,5419
"128","2015-01-02",0,5419
"129","2015-01-03",0,5419
"130","2015-01-04",28,5447
"131",NA,0,5447
"132",NA,18,5465
