"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",35,35
"3","2014-08-15",51,86
"4","2014-08-16",6,92
"5","2014-08-17",3,95
"6","2014-08-18",0,95
"7","2014-08-19",0,95
"8","2014-08-20",0,95
"9","2014-08-21",0,95
"10","2014-08-22",16,111
"11","2014-08-23",0,111
"12","2014-08-24",0,111
"13","2014-08-25",0,111
"14","2014-08-26",0,111
"15","2014-08-27",0,111
"16","2014-08-28",4,115
"17","2014-08-29",0,115
"18","2014-08-30",0,115
"19","2014-08-31",0,115
"20","2014-09-01",0,115
"21","2014-09-02",20,135
"22","2014-09-03",45,180
"23","2014-09-04",34,214
"24","2014-09-06",3,217
"25","2014-09-07",0,217
"26","2014-09-08",18,235
"27","2014-09-09",0,235
"28","2014-09-10",12,247
"29","2014-09-11",13,260
"30","2014-09-12",63,323
"31","2014-09-13",33,356
"32","2014-09-14",0,356
"33","2014-09-15",0,356
"34","2014-09-16",22,378
"35","2014-09-17",60,438
"36","2014-09-18",0,438
"37","2014-09-19",4,442
"38","2014-09-20",0,442
"39","2014-09-21",41,483
"40","2014-09-22",0,483
"41","2014-09-24",39,522
"42","2014-09-25",68,590
"43","2014-09-26",180,770
"44","2014-09-27",0,770
"45","2014-09-28",0,770
"46","2014-09-29",0,770
"47","2014-10-02",14,784
"48","2014-10-04",54,838
"49","2014-10-05",0,838
"50","2014-10-06",0,838
"51","2014-10-08",0,838
"52","2014-10-09",47,885
"53","2014-10-11",78,963
"54","2014-10-12",0,963
"55","2014-10-13",28,991
"56","2014-10-14",42,1033
"57","2014-10-15",42,1075
"58","2014-10-16",56,1131
"59","2014-10-17",0,1131
"60","2014-10-18",152,1283
"61","2014-10-19",0,1283
"62","2014-10-20",338,1621
"63","2014-10-21",49,1670
"64","2014-10-22",0,1670
"65","2014-10-23",91,1761
"66","2014-10-24",30,1791
"67","2014-10-25",0,1791
"68","2014-10-26",0,1791
"69","2014-10-27",30,1821
"70","2014-10-28",94,1915
"71","2014-10-29",228,2143
"72","2014-10-31",44,2187
"73","2014-11-01",111,2298
"74","2014-11-02",17,2315
"75","2014-11-03",17,2332
"76","2014-11-07",101,2433
"77","2014-11-08",0,2433
"78","2014-11-09",28,2461
"79","2014-11-11",123,2584
"80","2014-11-13",74,2658
"81","2014-11-14",248,2906
"82","2014-11-15",85,2991
"83","2014-11-16",0,2991
"84","2014-11-17",0,2991
"85","2014-11-18",0,2991
"86","2014-11-19",0,2991
"87","2014-11-20",0,2991
"88","2014-11-21",0,2991
"89","2014-11-22",0,2991
"90","2014-11-23",0,2991
"91","2014-11-24",208,3199
"92","2014-11-25",250,3449
"93","2014-11-26",546,3995
"94","2014-11-27",40,4035
"95","2014-11-28",676,4711
"96","2014-11-29",0,4711
"97","2014-11-30",0,4711
"98","2014-12-01",157,4868
"99","2014-12-02",190,5058
"100","2014-12-03",669,5727
"101","2014-12-05",0,5727
"102","2014-12-06",433,6160
"103","2014-12-07",256,6416
"104","2014-12-08",32,6448
"105","2014-12-09",240,6688
"106","2014-12-10",145,6833
"107","2014-12-11",210,7043
"108","2014-12-12",187,7230
"109","2014-12-13",166,7396
"110","2014-12-14",0,7396
"111","2014-12-15",38,7434
"112","2014-12-16",0,7434
"113","2014-12-17",0,7434
"114","2014-12-18",0,7434
"115","2014-12-20",0,7434
"116","2014-12-21",0,7434
"117","2014-12-22",0,7434
"118","2014-12-23",0,7434
"119","2014-12-24",0,7434
"120","2014-12-25",0,7434
"121","2014-12-26",0,7434
"122","2014-12-27",0,7434
"123","2014-12-28",0,7434
"124","2014-12-29",0,7434
"125","2014-12-30",0,7434
"126","2014-12-31",0,7434
"127","2015-01-01",0,7434
"128","2015-01-02",0,7434
"129","2015-01-03",0,7434
"130","2015-01-04",0,7434
"131",NA,0,7434
"132",NA,25,7459
